Date,Open,High,Low,Last,Close,Volume
5-28-2010,148.412003,153.160995,147.145996,148.016006,118.725525,8235108
5-31-2010,149.242996,151.261993,146.690002,149.332001,119.781097,4826370
6-1-2010,147.423004,150.093994,142.891006,143.593994,115.178574,5265772
6-2-2010,144.255997,148.005997,143.701996,147.334,118.178482,6676684
6-3-2010,148.610001,152.725998,148.610001,151.835007,121.788795,5112954
6-4-2010,150.391006,153.358994,149.509995,152.764999,122.53476,4081464
6-7-2010,150.391006,150.391006,145.294998,146.274994,117.329056,4087887
6-8-2010,146.136002,149.598999,144.682007,145.671005,116.844582,5614610
6-9-2010,145.444,147.363007,143.147995,144.078003,115.566818,8968967
6-10-2010,145.246002,150.945007,144.453995,150.281998,120.543121,6339616
6-11-2010,152.369995,152.893997,150.014999,151.389999,121.431847,5831315
6-14-2010,152.567993,152.962997,149.401001,150.440002,120.669853,3286033
6-15-2010,150.589005,152.210999,148.343002,150.401001,120.638573,3106831
6-16-2010,152.369995,155.932007,151.766006,153.992004,123.518951,5185962
6-17-2010,154.151001,159.057999,153.953003,158.306,126.979263,5036278
6-18-2010,158.306,160.442993,156.921005,158.197006,126.891846,4904215
6-21-2010,160.285004,162.660004,159.464005,159.949005,128.29715,3104941
6-22-2010,159.296005,159.889008,156.781998,157.919998,126.669655,3298884
6-23-2010,157.910004,159.671997,155.783005,156.466003,125.503403,4231397
6-24-2010,157.317001,157.850998,154.783997,155.328003,124.590569,2798568
6-25-2010,154.348007,156.199005,151.608002,152.261002,122.130493,3830957
6-28-2010,153.358994,156.604004,151.380005,155.832993,124.995644,2432159
6-29-2010,155.337997,155.733994,151.440002,152.072998,121.979698,2471308
6-30-2010,150.391006,154.626007,150.233002,154.022003,123.54303,3261291
7-1-2010,153.082001,153.160995,150.470001,150.975006,121.098984,3305737
7-2-2010,151.369995,153.537003,151.014008,151.776001,121.74147,2726227
7-5-2010,151.182007,154.309006,150.628006,151.380005,121.423836,2287689
7-6-2010,151.341003,152.725998,150.391006,151.964005,121.892281,2242789
7-7-2010,151.697006,152.162003,148.125,148.589996,119.185944,3077587
7-8-2010,151.182007,151.557999,149.332001,149.608994,120.003296,1919223
7-9-2010,150.608002,152.942993,150.074005,152.488007,122.312592,3103253
7-12-2010,153.358994,156.742996,153.259995,156.020996,125.146423,3776668
7-13-2010,156.723007,159.285995,155.673996,158.880005,127.439682,3016106
7-14-2010,159.296005,161.175003,157.177994,158.069,126.789169,2323160
7-15-2010,158.306,160.759995,156.654007,160.304993,128.582687,3381484
7-16-2010,160.858994,164.835999,159.889008,164.559006,131.994888,4044574
7-19-2010,163.054993,165.024002,162.660004,163.341995,131.018707,1897655
7-20-2010,164.044998,164.815994,160.067001,160.779999,128.963715,1791435
7-21-2010,161.313995,163.352005,161.313995,162.451996,130.304825,2188145
7-22-2010,161.888,166.220993,161.531998,165.350998,132.630142,2869039
7-23-2010,166.617004,167.587006,164.746994,165.716995,132.923706,2934866
7-26-2010,166.102997,166.320007,161.550995,161.996994,129.939865,1707254
7-27-2010,160.285004,167.903,160.285004,167.121994,134.05069,4035513
7-28-2010,167.240997,169.447006,167.013,168.585999,135.224976,2772481
7-29-2010,168.813995,171.960007,167.309998,171.307007,137.407562,3287817
7-30-2010,170.158997,170.397003,166.873993,167.438004,134.304153,2331927
8-2-2010,169.190002,170.802002,166.735992,167.725006,134.534378,2215934
8-3-2010,168.794006,168.992004,166.141998,166.597,133.629578,1764419
8-4-2010,167.141998,167.507996,165.231995,166.845001,133.828506,1477952
8-5-2010,166.845001,171.276993,166.824997,170.347,136.637527,2833750
8-6-2010,169.190002,178.272003,169.190002,176.975998,141.954727,7831520
8-9-2010,177.104996,182.210007,176.906998,181.843994,145.859375,5281342
8-10-2010,179.934998,191.412003,162.313004,189.432999,165.6073,26314110
8-11-2010,191.709,202.542999,190.759003,199.199005,174.145004,19013607
8-12-2010,197.684998,204.175003,195.983002,202.632004,177.146225,8594386
8-13-2010,201.839996,203.363998,199.623993,201.246994,175.93541,5233910
8-16-2010,199.664001,202.384003,196.457993,198.188995,173.262024,2427959
8-17-2010,199.268005,201.473999,197.546005,198.970993,173.945648,3386199
8-18-2010,197.487,208.766006,197.487,207.302002,181.228836,7214948
8-19-2010,207.123993,207.509995,204.294006,205.817993,179.931488,3099686
8-20-2010,204.809006,205.343002,200.455002,200.850998,175.589218,3561131
8-23-2010,202.632004,202.830002,199.050003,200.772003,175.520172,2093726
8-24-2010,200.751999,201.791,199.268005,199.891006,174.749954,1778099
8-25-2010,199.070007,200.613007,194.617996,196.259995,171.575638,3515407
8-26-2010,196.546997,201.445007,194.914001,197.417999,172.587982,4883611
8-27-2010,197.882996,200.257004,195.408997,196.042007,171.385071,2306251
8-30-2010,197.091003,199.860992,194.082993,196.190994,171.51532,2185366
8-31-2010,195.112,200.257004,194.488998,199.356995,174.283112,4810866
9-1-2010,200.850998,201.761002,198.278,199.574997,174.473694,2631989
9-2-2010,201.483994,204.313995,200.673004,201.257004,175.944153,2961346
9-3-2010,202.235992,202.651993,199.871002,200.365997,175.165222,1253824
9-6-2010,201.158005,205.600006,201.158005,204.759003,179.005676,2171282
9-7-2010,203.819,209.893997,203.819,205.412003,179.576553,2065325
9-8-2010,204.412994,206.401993,203.028,204.175003,178.495163,25580463
9-9-2010,205.541,206.332001,199.584,200.949997,175.675751,1892465
9-13-2010,202.483002,204.591003,201.266006,203.106995,177.561462,2425427
9-14-2010,203.423004,211.240005,202.701004,208.656998,182.413422,6344599
9-15-2010,210.744995,213.158997,201.641998,202.690994,177.1978,5131860
9-16-2010,202.850006,205.955994,201.839996,203.582001,177.97673,2220963
9-17-2010,204.809006,207.281998,203.819,204.936996,179.161301,1822009
9-20-2010,206.787003,209.617004,205.343002,209.003998,182.716782,2753607
9-21-2010,210.725006,214.108994,207.934998,213.199005,186.384155,4760321
9-22-2010,214.108994,215.554001,209.873993,211.863007,185.216187,2747952
9-23-2010,211.537003,213.712997,210.348999,212.169998,185.484573,1647795
9-24-2010,211.893005,213.039993,210.25,211.804001,185.164627,1352306
9-27-2010,212.723999,216.029007,211.893005,214.445007,187.47345,2805804
9-28-2010,212.328003,215.494003,211.190002,213.623993,186.755707,1363854
9-29-2010,214.345993,219.619995,213.712997,218.987,191.444168,3501191
9-30-2010,219.649994,219.848007,214.919998,217.136993,189.826843,1896296
10-1-2010,217.671005,228.703003,217.671005,221.401001,193.554565,5562180
10-4-2010,221.647995,227.050995,221.628998,225.507004,197.144135,2603993
10-5-2010,225.585999,226.576004,223.459,224.468002,196.235809,1480539
10-6-2010,226.556,227.891998,224.003006,225.001999,196.702652,2399114
10-7-2010,225.585999,227.169006,220.876999,222.884995,194.851913,1132196
10-8-2010,224.201004,225.526993,216.087997,218.641006,191.141708,1517859
10-11-2010,220.639008,227.841995,220.440994,227.505997,198.891708,2883259
10-12-2010,228.554001,230.533005,226.753998,228.891006,200.102524,3300355
10-13-2010,229.940002,233.600006,227.643997,232.768997,203.492767,2596741
10-14-2010,233.897003,236.429993,232.285004,234.104996,204.660706,2537837
10-15-2010,234.688995,235.272995,227.664001,228.860992,200.076294,1493355
